presidentId,administrationId,presidencyNumber,presidentTermNumber,startYear,endYear,presidentTerm,displayName,fullName,slug,firstName,middleName,lastName,suffix,birthDate,deathDate,birthPlace,partyId,partyName,partyAbbreviation,startDate,endDate,presidentNotes,administrationNotes
1,0,37,1,1969,1973,Richard Nixon (1969-1973),Richard Nixon,Richard Milhous Nixon,richard-nixon,Richard,Milhous,Nixon,,1913-01-09,1994-04-22,"Yorba Linda, California, U.S.",2,Republican,R,1969-01-20,1973-01-20,,
1,1,37,2,1973,1974,Richard Nixon (1973-1974),Richard Nixon,Richard Milhous Nixon,richard-nixon,Richard,Milhous,Nixon,,1913-01-09,1994-04-22,"Yorba Linda, California, U.S.",2,Republican,R,1973-01-20,1974-08-09,,
2,2,38,1,1974,1977,Gerald Ford (1974-1977),Gerald Ford,Gerald Rudolph Ford Jr.,gerald-ford,Gerald,Rudolph,Ford,Jr.,1913-07-14,2006-12-26,"Omaha, Nebraska, U.S.",2,Republican,R,1974-08-09,1977-01-20,,
3,3,39,1,1977,1981,Jimmy Carter (1977-1981),Jimmy Carter,James Earl Carter Jr.,jimmy-carter,James,Earl,Carter,Jr.,1924-10-01,2024-12-29,"Plains, Georgia, U.S.",1,Democratic,D,1977-01-20,1981-01-20,,
4,4,40,1,1981,1985,Ronald Reagan (1981-1985),Ronald Reagan,Ronald Wilson Reagan,ronald-reagan,Ronald,Wilson,Reagan,,1911-02-06,2004-06-05,"Tampico, Illinois, U.S.",2,Republican,R,1981-01-20,1985-01-20,,
4,5,40,2,1985,1989,Ronald Reagan (1985-1989),Ronald Reagan,Ronald Wilson Reagan,ronald-reagan,Ronald,Wilson,Reagan,,1911-02-06,2004-06-05,"Tampico, Illinois, U.S.",2,Republican,R,1985-01-20,1989-01-20,,
5,6,41,1,1989,1993,George H. W. Bush (1989-1993),George H. W. Bush,George Herbert Walker Bush,george-h-w-bush,George,Herbert Walker,Bush,,1924-06-12,2018-11-30,"Milton, Massachusetts, U.S.",2,Republican,R,1989-01-20,1993-01-20,,
6,7,42,1,1993,1997,Bill Clinton (1993-1997),Bill Clinton,William Jefferson Clinton,bill-clinton,William,Jefferson,Clinton,,1946-08-19,,"Hope, Arkansas, U.S.",1,Democratic,D,1993-01-20,1997-01-20,,
6,8,42,2,1997,2001,Bill Clinton (1997-2001),Bill Clinton,William Jefferson Clinton,bill-clinton,William,Jefferson,Clinton,,1946-08-19,,"Hope, Arkansas, U.S.",1,Democratic,D,1997-01-20,2001-01-20,,
7,9,43,1,2001,2005,George W. Bush (2001-2005),George W. Bush,George Walker Bush,george-w-bush,George,Walker,Bush,,1946-07-06,,"New Haven, Connecticut, U.S.",2,Republican,R,2001-01-20,2005-01-20,,
7,10,43,2,2005,2009,George W. Bush (2005-2009),George W. Bush,George Walker Bush,george-w-bush,George,Walker,Bush,,1946-07-06,,"New Haven, Connecticut, U.S.",2,Republican,R,2005-01-20,2009-01-20,,
8,11,44,1,2009,2013,Barack Obama (2009-2013),Barack Obama,Barack Hussein Obama II,barack-obama,Barack,Hussein,Obama,II,1961-08-04,,"Honolulu, Hawaii, U.S.",1,Democratic,D,2009-01-20,2013-01-20,,
8,12,44,2,2013,2017,Barack Obama (2013-2017),Barack Obama,Barack Hussein Obama II,barack-obama,Barack,Hussein,Obama,II,1961-08-04,,"Honolulu, Hawaii, U.S.",1,Democratic,D,2013-01-20,2017-01-20,,
9,13,45,1,2017,2021,Donald Trump (2017-2021),Donald Trump,Donald John Trump,donald-trump,Donald,John,Trump,,1946-06-14,,"Queens, New York City, New York, U.S.",2,Republican,R,2017-01-20,2021-01-20,,
10,14,46,1,2021,2025,Joe Biden (2021-2025),Joe Biden,Joseph Robinette Biden Jr.,joe-biden,Joseph,Robinette,Biden,Jr.,1942-11-20,,"Scranton, Pennsylvania, U.S.",1,Democratic,D,2021-01-20,2025-01-20,,
9,15,47,2,2025,,Donald Trump (2025-present),Donald Trump,Donald John Trump,donald-trump,Donald,John,Trump,,1946-06-14,,"Queens, New York City, New York, U.S.",2,Republican,R,2025-01-20,,,
